Age,Fare,Parch,PassengerId,Pclass,Survived,ohe_Q,ohe_S,Sex_label_encoder,ohe_Master,ohe_Miss,ohe_Mr,ohe_Mrs,ohe_Rev
-0.00022492031535570963,-0.1129216136518338,-0.08635996771589992,-0.5005019452077155,0.34685230024213065,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
-0.00022492031535570963,0.2754727679910328,-0.08635996771589992,-0.49937834970209755,-0.6531476997578693,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
-0.00022492031535570963,-0.10882739693008223,-0.08635996771589992,-0.4982547541964796,0.34685230024213065,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
-0.00022492031535570963,0.1651818481145508,-0.08635996771589992,-0.4971311586908616,-0.6531476997578693,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
0.0677283278499066,-0.10806920864827638,-0.08635996771589992,-0.49600756318524364,0.34685230024213065,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
-0.00022492031535570963,-0.10559266244458577,-0.08635996771589992,-0.49488396767962567,0.34685230024213065,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
0.32595067087790336,0.1576757841246729,-0.08635996771589992,-0.4937603721740077,-0.6531476997578693,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
-0.3807631100408246,-0.029065989684107153,0.2469733656174334,-0.4926367766683897,0.34685230024213065,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
-0.04099686921451309,-0.08936743321394064,0.5803066989507667,-0.4915131811627717,0.34685230024213065,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
-0.21767531444419508,0.02549809147964513,-0.08635996771589992,-0.49038958565715374,-0.15314769975786935,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
-0.3535818107747197,-0.05560257954731179,0.2469733656174334,-0.48926599015153577,0.34685230024213065,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
0.3803132694101132,0.0041426570589889414,-0.08635996771589992,-0.4881423946459178,-0.6531476997578693,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
-0.1361314166458803,-0.10806920864827638,-0.08635996771589992,-0.48701879914029983,0.34685230024213065,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
-0.21767531444419508,-0.10925683477289706,-0.08635996771589992,-0.48477160812906384,0.34685230024213065,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
0.3395413205109558,-0.05984843392542453,-0.08635996771589992,-0.48364801262344587,-0.15314769975786935,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
